Country,x,y
Algeria,
Angola,
Benin,
Botswana,
Burkina Faso,
Burundi,
Cameroon,
Central African Republic,
Chad,
Comoros
Congo
Djibouti,
DR Congo,
Egypt,
Equatorial Guinea,
Eritrea,
Ethiopia,
Gabon,
Gambia,
Ghana,
Guinea,
Guinea-Bissau,
Ivory Coast,
Kenya,
Lesotho,
Liberia,
Libya,
Madagascar,
Malawi,
Mali,
Mauritania,
Morocco,
Mozambique,
Namibia,
Niger,
Nigeria,
Rwanda,
Sao Tome and Principe,
Senegal,
Seychelles,
Sierra Leone,
Somalia,
South Africa,
South Sudan,
Sudan,
Swaziland,
Tanzania,
Togo,
Tunisia,
Uganda,
Western Sahara,
Zambia,
Zimbabwe,
